meme,date,class,representation,nacionalism
IMG-20200424-WA1559.jpg,25/04/2020,grassroots_action,selfless,flag
IMG-20200424-WA1628.jpg,24/04/2020,persuasive,hero_leader,coat_sash
IMG-20200325-WA0016.jpg,26/03/2020,persuasive,selfless,patriotism
IMG-20200424-WA1630.jpg,24/04/2020,persuasive,hero_leader,patriotism
IMG-20200424-WA1628.jpg,25/04/2020,persuasive,hero_leader,flag
IMG-20200424-WA1547.jpg,25/04/2020,grassroots_action,warrior_punisher,armed_forces
IMG-20200424-WA1892.jpg,24/04/2020,persuasive,hero_leader,national_colors
IMG-20200425-WA0752.jpg,25/04/2020,persuasive,martyr,national_colors
IMG-20200425-WA0783.jpg,25/04/2020,public_discussion,martyr,national_colors
IMG-20200426-WA0014.jpg,26/04/2020,persuasive,martyr,flag
IMG-20200425-WA0783.jpg,26/04/2020,public_discussion,martyr,armed_forces
IMG-20200426-WA0021.jpg,26/04/2020,grassroots_action,hero_leader,national_colors
IMG-20200426-WA0021.jpg,27/04/2020,grassroots_action,hero_leader,armed_forces
IMG-20200426-WA0022.jpg,26/04/2020,grassroots_action,hero_leader,flag
IMG-20200426-WA0022.jpg,27/04/2020,grassroots_action,hero_leader,armed_forces
IMG-20200426-WA0040.jpg,26/04/2020,persuasive,savior,armed_forces
IMG-20200426-WA0872.jpg,26/04/2020,public_discussion,savior,national_colors
IMG-20200426-WA1060.jpg,26/04/2020,persuasive,savior,national_colors
IMG-20200424-WA1892.jpg,25/04/2020,persuasive,hero_leader,coat_sash
IMG-20200427-WA0265.jpg,27/04/2020,persuasive,selfless,coat_sash
IMG-20200427-WA1719.jpg,27/04/2020,persuasive,selfless,national_colors
IMG-20200428-WA0395.jpg,28/04/2020,persuasive,picaresque_character,coat_sash
IMG-20200429-WA0721.jpg,29/04/2020,persuasive,martyr,national_colors
IMG-20200430-WA0193.jpg,30/04/2020,persuasive,martyr,coat_sash
IMG-20200430-WA0608.jpg,30/04/2020,persuasive,victim,national_colors
IMG-20200503-WA0135.jpg,03/05/2020,persuasive,savior,flag
IMG-20200505-WA0072.jpg,05/05/2020,public_discussion,hero_leader,flag
IMG-20200426-WA0872.jpg,27/04/2020,public_discussion,savior,armed_forces
IMG-20200505-WA0126.jpg,05/05/2020,public_discussion,selfless,armed_forces
IMG-20200508-WA0289.jpg,08/05/2020,persuasive,victim,national_colors
IMG-20200508-WA0568.jpg,08/05/2020,persuasive,ordinary_person,flag
IMG-20200509-WA0046.jpg,09/05/2020,grassroots_action,warrior_punisher,national_colors
IMG-20200509-WA0364.jpg,09/05/2020,persuasive,hero_leader,national_colors
IMG-20200512-WA0633.jpg,12/05/2020,persuasive,father_of_the_poor,national_colors
IMG-20200514-WA0086.jpg,14/05/2020,public_discussion,martyr,coat_sash
IMG-20200514-WA0207.jpg,14/05/2020,persuasive,father_of_the_poor,national_colors
IMG-20200515-WA0109.jpg,15/05/2020,grassroots_action,selfless,flag
IMG-20200517-WA0125.jpg,17/05/2020,persuasive,martyr,national_colors
IMG-20200518-WA0301.jpg,18/05/2020,persuasive,father_of_the_poor,national_colors
IMG-20200518-WA0307.jpg,18/05/2020,persuasive,father_of_the_poor,national_colors
IMG-20200519-WA0025.jpg,19/05/2020,persuasive,father_of_the_poor,national_colors
IMG-20200520-WA0006.jpg,20/05/2020,public_discussion,picaresque_character,flag
IMG-20200520-WA0275.jpg,20/05/2020,persuasive,savior,national_colors
IMG-20200521-WA0228.jpg,21/05/2020,persuasive,father_of_the_poor,flag
IMG-20200509-WA0364.jpg,10/05/2020,persuasive,hero_leader,people
IMG-20200522-WA0386.jpg,22/05/2020,persuasive,warrior_punisher,coat_sash
IMG-20200522-WA0404.jpg,22/05/2020,persuasive,hero_leader,coat_sash
IMG-20200522-WA0411.jpg,22/05/2020,persuasive,warrior_punisher,flag
IMG-20200509-WA0046.jpg,10/05/2020,grassroots_action,warrior_punisher,armed_forces
IMG-20200522-WA0386.jpg,23/05/2020,persuasive,warrior_punisher,people
IMG-20200522-WA0428.jpg,22/05/2020,persuasive,warrior_punisher,national_colors
IMG-20200522-WA0428.jpg,23/05/2020,persuasive,warrior_punisher,armed_forces
IMG-20200523-WA0017.jpg,23/05/2020,public_discussion,warrior_punisher,flag
IMG-20200522-WA0428.jpg,23/05/2020,persuasive,warrior_punisher,people
IMG-20200523-WA0020.jpg,22/05/2020,persuasive,warrior_punisher,flag
IMG-20200523-WA0147.jpg,23/05/2020,public_discussion,selfless,flag
IMG-20200523-WA0017.jpg,24/05/2020,public_discussion,warrior_punisher,armed_forces
IMG-20200523-WA0165.jpg,23/05/2020,public_discussion,ordinary_person,flag
IMG-20200523-WA0165.jpg,24/05/2020,public_discussion,ordinary_person,armed_forces
IMG-20200523-WA0268.jpg,23/05/2020,public_discussion,ordinary_person,flag
IMG-20200524-WA0290.jpg,24/05/2020,persuasive,savior,national_colors
IMG-20200523-WA0020.jpg,23/05/2020,persuasive,warrior_punisher,people
IMG-20200524-WA0440.jpg,24/05/2020,persuasive,warrior_punisher,national_colors
IMG-20200523-WA0268.jpg,24/05/2020,public_discussion,ordinary_person,armed_forces
IMG-20200415-WA0171.jpg,16/04/2020,ambivalence,ordinary_person,idols
IMG-20200525-WA0239.jpg,23/05/2020,public_discussion,warrior_punisher,idols
IMG-20200525-WA0239.jpg,24/05/2020,public_discussion,warrior_punisher,armed_forces
IMG-20200531-WA0335.jpg,31/05/2020,public_discussion,hero_leader,history
IMG-20200609-WA0110.jpg,09/06/2020,persuasive,martyr,national_colors
IMG-20200609-WA0112.jpg,09/06/2020,persuasive,father_of_the_poor,national_colors
IMG-20200531-WA0335.jpg,01/06/2020,public_discussion,hero_leader,armed_forces
IMG-20200612-WA0001.jpg,11/06/2020,persuasive,warrior_punisher,armed_forces
IMG-20200524-WA0440.jpg,25/05/2020,persuasive,warrior_punisher,people
IMG-20200612-WA0001.jpg,11/06/2020,persuasive,warrior_punisher,people
IMG-20200612-WA0001.jpg,12/06/2020,persuasive,warrior_punisher,national_colors
